iter	Passed	Remaining
0	151	150877
1	156	78145
2	161	53523
3	165	41319
4	170	34020
5	175	29142
6	180	25625
7	186	23152
8	191	21063
9	196	19414
10	201	18072
11	202	16696
12	206	15675
13	209	14757
14	212	13968
15	215	13246
16	218	12616
17	220	12041
18	222	11494
19	224	11005
20	226	10569
21	229	10182
22	242	10307
23	245	9963
24	247	9659
25	250	9367
26	252	9102
27	254	8835
28	256	8585
29	258	8348
30	259	8125
31	261	7917
32	263	7723
33	265	7546
34	267	7380
35	269	7224
36	271	7067
37	273	6919
38	275	6778
39	277	6651
40	279	6529
41	281	6413
42	283	6301
43	285	6202
44	287	6102
45	289	6014
46	292	5924
47	294	5836
48	296	5752
49	298	5673
50	300	5593
51	302	5516
52	304	5441
53	306	5371
54	308	5305
55	310	5241
56	313	5180
57	315	5119
58	317	5066
59	319	5006
60	321	4948
61	323	4890
62	325	4846
63	328	4804
64	330	4755
65	332	4711
66	335	4666
67	337	4626
68	339	4582
69	342	4546
70	344	4512
71	346	4472
72	349	4438
73	351	4404
74	354	4370
75	357	4351
76	360	4322
77	363	4291
78	365	4259
79	367	4231
80	370	4198
81	372	4173
82	375	4146
83	377	4115
84	379	4087
85	382	4064
86	384	4037
87	387	4021
88	391	4003
89	393	3983
90	396	3959
91	398	3933
92	400	3908
93	403	3888
94	406	3867
95	408	3844
96	410	3822
97	413	3803
98	415	3784
99	418	3764
100	420	3744
101	423	3725
102	425	3704
103	427	3684
104	430	3667
105	432	3649
106	435	3634
107	438	3623
108	441	3608
109	443	3592
110	446	3574
111	448	3555
112	450	3538
113	453	3521
114	455	3502
115	457	3487
116	460	3473
117	462	3459
118	465	3445
119	467	3428
120	469	3412
121	472	3398
122	474	3383
123	476	3368
124	478	3352
125	481	3338
126	483	3323
127	485	3309
128	491	3318
129	494	3308
130	496	3294
131	499	3281
132	502	3275
133	506	3270
134	509	3262
135	512	3254
136	514	3242
137	517	3233
138	520	3223
139	522	3211
140	525	3198
141	527	3189
142	531	3184
143	534	3176
144	536	3165
145	539	3157
146	542	3150
147	545	3141
148	548	3130
149	550	3119
150	553	3110
151	555	3100
152	558	3093
153	561	3087
154	565	3080
155	567	3071
156	570	3062
157	573	3055
158	575	3045
159	577	3033
160	580	3023
